Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Aktion;Umsatz
23.05.2017;18:44:39;M Glattpark;302;2965;Alnatura Soja Kalzium;1;0;1.45
23.05.2017;18:44:39;M Glattpark;302;2965;Appenzell Mostbröckli;0.097;0;8.55
23.05.2017;18:44:39;M Glattpark;302;2965;Bündnerfleisch;1;0;9.6
23.05.2017;18:44:39;M Glattpark;302;2965;Reibkäse Gruyère;1;0;3.65
23.05.2017;18:44:39;M Glattpark;302;2965;MBud Cereal Flak.Choco;1;0;5.6
23.05.2017;18:44:39;M Glattpark;302;2965;MBud Cereal Flak.Choco;1;0;5.6
23.05.2017;18:44:39;M Glattpark;302;2965;Schwarzwälderroulade;1;2.5;2.5
23.05.2017;18:44:39;M Glattpark;302;2965;Le Gruyère Surchoix;0.25;1;4
23.05.2017;18:44:39;M Glattpark;302;2965;Le Gruyère Surchoix;0.253;1;4.05
23.05.2017;18:44:39;M Glattpark;302;2965;Le Gruyère Surchoix;0.253;1;4.05
23.05.2017;18:44:39;M Glattpark;302;2965;Tilsiter surchoi;0.163;0;3.9
23.05.2017;18:44:39;M Glattpark;302;2965;Bio Mont Vully;0.191;0;5.35
23.05.2017;18:44:39;M Glattpark;302;2965;Alnatura Soja Kalzium;1;0;1.45
23.05.2017;18:44:39;M Glattpark;302;2965;Alnatura Soja Kalzium;1;0;1.45
10.06.2017;16:21:49;MM Oerlikon;4;8894;Nissin Soba Classic;1;0;1.7
10.06.2017;16:21:49;MM Oerlikon;4;8894;Nissin Soba Classic;1;0;1.7
10.06.2017;16:21:49;MM Oerlikon;4;8894;Alnatura Soja Kalzium;1;0;1.45
10.06.2017;16:21:49;MM Oerlikon;4;8894;Alnatura Soja Kalzium;8;0;11.6
10.06.2017;16:21:49;MM Oerlikon;4;8894;Noodle Soup Rind;1;0;1.1
10.06.2017;16:21:49;MM Oerlikon;4;8894;Noodle Soup Rind;1;0;1.1
10.06.2017;16:21:49;MM Oerlikon;4;8894;Noodle Soup Rind;1;0;1.1
10.06.2017;16:21:49;MM Oerlikon;4;8894;Nissin Soba Classic;1;0;1.7
10.06.2017;16:21:49;MM Oerlikon;4;8894;Mie Noodles;1;0;2.3
10.06.2017;16:21:49;MM Oerlikon;4;8894;Nissin Soba Chili;1;0;1.7
10.06.2017;16:21:49;MM Oerlikon;4;8894;Nissin Soba Chili;1;0;1.7
10.06.2017;16:21:49;MM Oerlikon;4;8894;MBud Cereal Flak.Choco;1;0;5.6
10.06.2017;16:21:49;MM Oerlikon;4;8894;Nissin Soba Chili;1;0;1.7
10.06.2017;16:21:49;MM Oerlikon;4;8894;MBud Cereal Flak.Choco;1;0;5.6
10.06.2017;16:21:49;MM Oerlikon;4;8894;MBud Cereal Flak.Choco;1;0;5.6
10.06.2017;16:21:49;MM Oerlikon;4;8894;MBud Cereal Flak.Choco;1;0;5.6
10.06.2017;16:21:49;MM Oerlikon;4;8894;MBud Cereal Flak.Choco;1;0;5.6
10.06.2017;16:21:49;MM Oerlikon;4;8894;Grana Padano 250g;1;0.66;3.69
04.08.2017;17:40:25;M Glattpark;302;5334;MClass Saladbowl;1;0;3.9
04.08.2017;17:40:25;M Glattpark;302;5334;MClass Saladbowl;1;0;3.9
04.08.2017;17:40:25;M Glattpark;302;5334;Carpe Diem Matcha 50cl;1;0;1.7
04.08.2017;17:40:25;M Glattpark;302;5334;Ice Tea Green Tea 50cl;1;0;1.1
04.08.2017;17:40:25;M Glattpark;302;5334;Pouletspiessli mini;0.219;2.5;5.7
04.08.2017;17:40:25;M Glattpark;302;5334;Holzfällersteak;0.286;0;5.15
04.08.2017;17:40:25;M Glattpark;302;5334;Pouletspiessli mini;-0.219;-2.5;-5.7
04.08.2017;17:40:25;M Glattpark;302;5334;Pouletspiessli mini;0.219;5.35;2.85
04.08.2017;17:40:25;M Glattpark;302;5334;Kartoffelbrot mit Nüss;1;0;2.3
29.08.2017;19:48:31;M Glattpark;1;7049;Le Gruyère Surchoix;0.253;1;4.05
29.08.2017;19:48:31;M Glattpark;1;7049;Le Gruyère Surchoix;0.253;1;4.05
29.08.2017;19:48:31;M Glattpark;1;7049;8 Blumenkäse;0.165;2.8;2.8
29.08.2017;19:48:31;M Glattpark;1;7049;Datteltomaten;1;0;3.9
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Haferdrink;1;0;2
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Haferdrink;1;0;2
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Haferdrink;1;0;2
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Haferdrink;1;0;2
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Haferdrink;1;0;2
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Haferdrink;1;0;2
29.08.2017;19:48:31;M Glattpark;1;7049;MBud Frischkäse;1;0;1
29.08.2017;19:48:31;M Glattpark;1;7049;MBud Frischkäse;1;0;1
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Soja Kalzium;1;0;1.45
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Soja Kalzium;1;0;1.45
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Soja Kalzium;1;0;1.45
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Soja Kalzium;1;0;1.45
29.08.2017;19:48:31;M Glattpark;1;7049;Alnatura Soja Kalzium;1;0;1.45
